Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Molecular Weight,AlogP,Label
CHEMBL1200781,Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Ki,0.78,405.31,3.81,1
CHEMBL1489369,Br.CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,Ki,17.18,413.15,3.77,1
CHEMBL1237149,Br.O=c1[nH]c2cccc(N3C[C@H]4C[C@@H]3CN4CC3CCc4[nH]c5ccc(F)cc5c4C3)c2o1,Ki,460.0,513.41,3.81,1
CHEMBL2062257,Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)C(O)C(O)C(=O)O,Ki,10000.0,442.23,1.76,0
CHEMBL1644601,Brc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(-c2ccccc2)c1,IC50,2610.0,358.28,4.78,0
CHEMBL1643650,Brc1ccc(C2=C(c3cc(-c4ccccc4)no3)C3CCC(C2)S3)cc1,IC50,10000.0,424.36,6.68,0
CHEMBL4294090,Brc1ccc(N2CCN(CCCCOc3ccc4ccccc4c3)CC2)cc1,IC50,10700.0,439.40,5.58,0
CHEMBL3775012,Brc1ccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)cc1,IC50,2250.0,456.47,4.92,0
CHEMBL4283496,Brc1ccc(N2CCN(CCCOc3ccc4ccccc4c3)CC2)cc1,IC50,830.0,425.37,5.19,1
CHEMBL3775085,Brc1ccc(N2CCN(CCN3CCC(Cc4ccccc4)CC3)CC2)cc1,IC50,4920.0,442.45,4.53,0
CHEMBL5990511,Brc1ccc(OC2Cc3ccccc3C2)c(OC2CNC2)c1,Ki,42.0,360.25,3.35,1
CHEMBL5801143,Brc1ccc(OCCc2ccccc2)c(OC2CNC2)c1,Ki,60.0,348.24,3.42,1
CHEMBL5974050,Brc1ccc(OCc2ccccc2)c(OC2CNC2)c1,Ki,48.0,334.21,3.38,1
CHEMBL5849435,Brc1ccc(Oc2ccccc2)c(OC2CNC2)c1,Ki,5000.0,320.19,3.59,0
CHEMBL1643660,Brc1ccc([C@@H]2CC3CCC(S3)C2c2cc(-c3ccccc3)no2)cc1,IC50,10000.0,426.38,6.64,0
CHEMBL4848081,Brc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,Ki,1.07,390.28,3.95,1
CHEMBL25416,Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,IC50,1000.0,293.21,3.47,0
CHEMBL4081927,Brc1cccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)c1,IC50,10000.0,440.39,4.45,0
CHEMBL1644476,Brc1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1,IC50,136.0,282.18,3.11,1
CHEMBL4094228,Brc1ccccc1-c1nnnn1CCCN1CCC(Cc2ccccc2)CC1,IC50,5130.0,440.39,4.45,0
CHEMBL378418,Brc1ccccc1CC(c1ccccc1)N1CCNCC1,IC50,15.0,345.28,3.64,1
CHEMBL2333645,Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,IC50,10.0,361.28,3.68,1
CHEMBL2107797,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,Ki,595.0,312.45,3.88,1
CHEMBL2113217,C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,Ki,10000.0,241.33,2.67,0
CHEMBL257336,C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1,IC50,160.0,326.40,1.30,1
CHEMBL439423,C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,IC50,34.0,248.35,1.06,1
CHEMBL411677,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,IC50,145.0,308.38,0.93,1
CHEMBL402441,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,IC50,25.0,324.38,0.77,1
CHEMBL408384,C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,IC50,49.0,310.35,0.73,1
CHEMBL513248,C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,IC50,26.0,272.37,1.06,1
